gameId,winner,firstBlood,firstTower,firstInhibitor,firstBaron,firstDragon,firstRiftHerald
3315005993,2,1,2,2,2,2,0
3328235024,1,1,1,1,0,1,1
3325899099,2,1,2,2,0,2,2
3322411139,1,2,1,1,1,1,0
3317568621,1,1,2,1,0,1,1
3278485058,1,1,1,0,0,1,0
3323450176,1,2,2,1,2,1,2
3329355820,2,1,1,2,2,1,0
3329523242,1,1,1,1,1,1,1
3300523019,1,1,2,1,0,1,0
3260960194,1,2,1,1,1,1,2
3330029652,2,1,1,1,2,2,1
3283544172,1,1,1,1,1,1,0
3313865303,1,2,2,1,1,2,2
3326688250,2,2,2,2,2,2,2
3228575167,1,1,1,0,0,0,0
3328059536,1,1,2,1,1,2,1
3320779522,1,1,2,2,1,1,2
3292256236,2,2,2,2,2,1,0
3285648979,2,1,1,2,0,2,0
3319744291,1,2,1,1,0,1,0
3233271653,2,2,1,2,2,2,0
3328257946,1,1,1,1,0,1,1
3318631365,2,1,2,2,0,1,2
3330134561,1,2,1,1,0,0,0
3329879618,2,1,2,2,2,2,2
3315337879,1,1,1,1,0,1,0
3324357625,2,2,2,2,0,2,0
3319890638,2,2,2,2,1,2,0
3319065982,2,2,1,2,1,2,0
3327210456,1,1,2,1,2,1,0
3220489176,1,2,1,1,0,1,0
3329988115,1,1,2,1,1,1,0
3218051336,1,1,1,1,1,1,1
3273955910,1,2,2,1,1,2,2
3306378109,2,1,2,2,2,2,1
3325854973,1,2,2,1,1,2,1
3321667006,2,1,2,2,0,2,0
3290591993,2,2,2,2,0,1,0
3317891706,1,1,2,1,0,2,0
3317698956,2,1,1,2,0,1,0
3306848074,2,2,2,2,2,2,1
3325741387,1,2,2,1,1,2,2
3325298155,2,1,1,2,1,2,1
3329216618,1,2,1,1,0,1,1
3325562798,1,2,2,1,2,2,0
3276082388,1,1,1,1,1,1,1
3283697742,1,1,1,1,0,1,2
3228196248,1,2,1,1,0,1,0
3328076986,2,1,1,2,0,1,0
3323442409,1,1,1,1,1,1,1
3319441119,2,1,1,2,0,2,0
3263331345,2,1,1,1,2,1,1
3326346692,1,1,1,1,0,1,0
3230623742,2,2,1,2,1,2,0
3324155100,1,2,2,1,1,2,2
3318820361,1,1,1,0,0,1,1
3275942117,1,2,2,1,2,2,0
3250588648,2,1,2,2,2,2,2
3319715822,2,2,2,2,2,2,2
3330134587,2,1,2,1,1,2,2
3243187691,2,2,2,2,2,2,2
3319504763,1,1,1,1,1,1,2
3313871700,1,1,2,1,1,2,0
3328007564,2,2,2,2,2,2,2
3288405925,1,1,1,1,1,1,1
3331121626,2,2,1,2,1,1,0
3264021701,2,2,2,2,2,2,0
3272272302,2,2,2,2,0,2,2
3300517697,2,1,1,1,0,1,0
3327231780,2,1,1,2,2,2,2
3262821388,1,1,1,1,0,0,0
3330161935,1,2,1,1,1,1,1
3255360670,2,2,2,2,2,2,0
3301391824,2,1,2,2,2,2,2
3326857244,1,1,1,1,0,1,1
3308173394,1,1,1,1,0,1,0
3324583766,2,1,2,2,1,2,1
3286830044,1,1,1,2,1,2,2
3321180520,1,2,1,1,1,1,1
3324574640,2,2,1,2,1,1,1
3331074547,1,1,2,1,1,2,2
3301419496,2,1,2,2,1,1,2
3251769268,1,2,1,1,1,2,0
3270340382,2,2,2,2,2,1,2
3327749176,2,1,1,2,2,1,1
3313524001,1,2,2,1,1,2,1
3224911519,2,1,1,2,1,2,1
3330156484,2,2,2,2,0,2,0
3328312961,2,2,2,2,2,2,2
3319265700,2,1,2,0,0,2,0
3269653607,2,1,2,0,0,2,0
3260906125,1,2,1,1,0,2,1
3328785302,2,2,2,2,1,2,2
3223703864,2,1,2,2,0,2,1
3322654390,2,1,2,0,2,1,2
3328234136,2,2,2,2,2,1,0
3325627631,1,1,1,1,0,0,1
3284532496,2,1,1,2,1,2,1
3272381153,2,2,2,2,0,2,0
3326082621,2,2,1,2,2,1,2
3311958899,2,1,2,2,2,2,2
3312573466,2,2,2,2,2,2,0
3312431187,1,2,1,1,0,1,0
3302194558,1,2,1,1,0,1,1
3251662809,1,1,1,1,1,1,0
3326240768,2,1,1,0,0,1,2
3318103812,1,1,1,1,1,1,1
3301012424,1,1,1,1,1,1,0
3267392992,1,1,1,1,0,1,1
3267391330,1,2,1,2,1,2,0
3269018594,1,1,1,1,1,1,0
3328964815,2,1,2,2,2,2,0
3302107954,2,2,2,2,0,2,0
3319750527,2,2,2,0,0,2,0
3327854927,2,1,1,0,2,2,0
3330005841,2,1,2,2,0,2,0
3327312174,2,1,1,1,1,1,1
3311878126,1,2,2,2,2,2,0
3327750180,1,2,1,1,1,1,2
3313101016,2,1,2,2,1,2,0
3328394869,1,2,1,1,1,1,0
3303374774,1,1,0,0,0,0,0
3319414022,2,1,2,2,2,2,2
3327719813,2,2,2,0,0,2,2
3250489148,2,2,2,2,0,1,0
3268526507,1,2,2,2,2,2,2
3328159295,1,1,2,1,0,1,0
3318805980,1,2,1,1,1,2,1
3268995334,1,1,1,1,0,2,2
3320709530,1,2,2,1,1,2,2
3302460478,1,1,1,1,1,1,1
3328089735,2,1,2,2,1,2,0
3317176408,1,1,1,1,0,2,0
3326483498,2,2,1,2,1,1,0
3317905544,2,2,1,2,2,1,2
3294950911,2,1,1,2,2,2,0
3323672407,1,2,1,1,0,2,1
3315734875,1,1,1,1,2,2,2
